cust_id,sales_total,num_of_orders,gender
100001,800.64,3,1
100002,217.53,3,1
100003,74.58,2,0
100004,498.6,3,0
100005,723.11,4,1
100006,69.43,2,1
100007,40.15,2,0
100008,58.61,2,0
100009,364.63,2,1
100010,44.31,2,0
100011,216.41,1,1
100012,157.92,2,1
100013,289.58,1,0
100014,1044.4,7,0
100015,82.3,3,0
100016,90.21,2,0
100017,59.09,2,0
100018,361.38,1,0
100019,37.32,1,0
100020,311.34,3,1
100021,90.84,3,0
100022,580.64,5,0
100023,274.31,2,1
100024,215.06,2,1
100025,202.99,3,1
100026,53.03,2,1
100027,153.87,3,1
100028,149.65,3,0
100029,271.5,3,0
100030,456.17,3,1
100031,123.49,3,1
100032,122.92,2,1
100033,272.96,1,0
100034,120.57,1,0
100035,162.56,1,0
100036,710.93,4,0
100037,39.72,2,0
100038,240.35,3,1
100039,155.54,1,1
100040,87.55,3,0
100041,85.15,2,1
100042,163.95,2,0
100043,72.30442,1,0
100044,41.63,2,0
100045,326.47,4,0
100046,80.8,1,1
100047,350.02,2,1
100048,128.26,1,0
100049,110.44,3,1
100050,83.25925,1,0
100051,49.39,1,0
100052,52.27,3,1
100053,157.13,1,1
100054,424.12,3,1
100055,143.8,2,0
100056,96.14,2,0
100057,659.04,3,0
100058,47.73,2,0
100059,73.72,2,0
100060,81.85,2,1
100061,111.39,2,0
100062,113.64,1,0
100063,542.67,3,0
100064,37.44,2,0
100065,126.54,2,0
100066,54.72,3,0
100067,190.81,3,0
100068,204.78,2,1
100069,97.77,3,1
100070,190.62,1,0
100071,170.09,2,1
100072,148.41,1,1
100073,347.39,4,0
100074,61.76,1,1
100075,40.47,1,0
100076,85.18938,1,0
100077,920.85,5,1
100078,78.16,2,1
100079,53.98,1,1
100080,498.18,3,1
100081,50.25,2,1
100082,31.9,2,1
100083,297.14,2,0
100084,39.63,2,1
100085,146.27,2,1
100086,79.58,1,0
100087,339.49,1,0
100088,114.97,3,1
100089,183.25,3,0
100090,159.24,2,0
100091,152.16,2,0
100092,280.63,4,1
100093,36.18,2,1
100094,154.18,1,1
100095,265.46,2,0
100096,222.11,2,1
100097,99.98,2,1
100098,190.23,1,0
100099,91.43,2,1
100100,340.83,1,1
100101,209.75,3,0
100102,742.42,6,1
100103,127.4,2,0
100104,585.58,2,0
100105,246.92,3,0
100106,589.02,2,1
100107,437.02,2,1
100108,214.4,1,0
100109,317.29,2,0
100110,161.17,1,1
100111,554.56,5,0
100112,322.61,2,1
100113,405.05,3,0
100114,245.23,4,0
100115,292.72,3,0
100116,407.88,2,1
100117,650.47,2,1
100118,53.35415,2,0
100119,242.86,2,1
100120,401.03,3,0
100121,56.46,1,0
100122,176.63,2,1
100123,317.3,1,0
100124,818.45,6,1
100125,53.62,2,1
100126,512.44,2,0
100127,204.65,3,0
100128,208.93,2,0
100129,378.96,3,1
100130,51.6,2,0
100131,65.78,3,0
100132,252.27,3,1
100133,747.9,4,0
100134,48.42,1,1
100135,240.73,1,0
100136,989.62,6,0
100137,289.48,2,0
100138,30.85,1,1
100139,196.91,3,0
100140,213.57,3,0
100141,123.88,1,1
100142,303.22,2,0
100143,61.79,2,0
100144,58.93,3,1
100145,215.5,2,1
100146,150.73,2,0
100147,314.36,4,1
100148,145.02,2,0
100149,37.39,2,0
100150,1011.88,9,1
100151,37.06,2,1
100152,97.66,3,1
100153,231.79,3,0
100154,71.33,2,0
100155,108.16,3,0
100156,236.93,2,0
100157,77.31,3,1
100158,106.82,2,0
100159,1947.93,9,0
100160,267.68,1,0
100161,107.75,2,0
100162,782.29,2,0
100163,257.55,3,1
100164,32.11,1,1
100165,71.78,1,1
100166,48.57,1,0
100167,586.01,6,0
100168,53.87,1,0
100169,143.48,2,0
100170,34.55,1,0
100171,97.07,1,1
100172,174.69,2,1
100173,223.65,3,1
100174,356.88,1,1
100175,35.75,1,1
100176,680.61,6,1
100177,325.48,4,0
100178,50.39,3,0
100179,49.77,2,1
100180,210.02,1,1
100181,65.09,2,0
100182,223.17,4,0
100183,1210.78,5,1
100184,238.91,2,0
100185,111.75,1,0
100186,122.1,2,0
100187,63.69,1,0
100188,59.37,2,1
100189,56.43,3,1
100190,202.04,1,1
100191,222.58,2,1
100192,253.49,3,1
100193,81.92,2,0
100194,71.84,1,1
100195,145.91,2,0
100196,363.03,2,1
100197,96.62,1,0
100198,292.33,1,0
100199,553.15,5,1
100200,163.78,3,1
100201,404.37,3,1
100202,258.5,4,1
100203,459.69,2,0
100204,57.37793,2,0
100205,430.29,2,1
100206,144.27,2,0
100207,99.87,3,0
100208,194.03,2,0
100209,253.65,4,0
100210,305.29,1,1
100211,323.59,2,1
100212,70.12,3,0
100213,70.4,3,1
100214,49.65,1,1
100215,1211.36,7,0
100216,364.29,1,1
100217,257.13,3,1
100218,85.15,2,0
100219,159.61,2,0
100220,1247.34,5,0
100221,201.91,4,0
100222,328.42,2,1
100223,185.5,2,0
100224,471.05,1,1
100225,62.85,2,0
100226,186.59,3,0
100227,127.9,3,0
100228,874.14,2,0
100229,31.68,2,0
100230,192.38,2,0
100231,115.97,2,0
100232,293.2,1,0
100233,64.17,2,1
100234,281.24,3,0
100235,374.79,2,1
100236,58.81,2,0
100237,452.17,3,1
100238,212.7,3,0
100239,135.95,2,0
100240,36.71,2,1
100241,225.58,2,0
100242,424.3,3,1
100243,220.3,1,0
100244,93.08,2,0
100245,59.53859,2,0
100246,347.15,1,0
100247,97.71,1,0
100248,321.66,3,1
100249,254.61,3,1
100250,59.41,3,1
100251,467.87,3,1
100252,70.50536,2,0
100253,2301.26,9,1
100254,336.7,2,0
100255,153.11,1,0
100256,114.51,3,1
100257,166.29,3,0
100258,261.12,2,1
100259,79.95,2,1
100260,3873.24,8,1
100261,398.4,2,1
100262,167.06,2,0
100263,133.31,2,0
100264,82.12,2,1
100265,59.17315,2,1
100266,406.04,4,0
100267,274.02,2,0
100268,348.28,1,0
100269,77.25,2,1
100270,87.55,2,0
100271,90.91,3,0
100272,1036.88,10,1
100273,67.23,2,0
100274,405.53,2,1
100275,34.49,1,1
100276,146.86,2,1
100277,36.26,1,1
100278,116.68,1,0
100279,208.41,3,0
100280,36.35,2,0
100281,296.64,3,0
100282,261.61,3,0
100283,233.45,2,0
100284,199.26,2,1
100285,133.19,1,0
100286,99.26,2,1
100287,287.15,2,0
100288,150.26,2,1
100289,123.45,2,1
100290,1166.18,7,1
100291,240.19,2,1
100292,157.04,3,1
100293,852.6,6,1
100294,86.8,2,1
100295,94.94,2,1
100296,300.76,3,1
100297,287.82,3,1
100298,551.73,5,1
100299,39.67,2,0
100300,38.31,2,0
100301,85.77,1,0
100302,405.72,2,0
100303,124.36,2,0
100304,97.86,3,0
100305,324.27,2,0
100306,60.83,2,0
100307,280.6,1,1
100308,74.76,3,1
100309,52.33,2,0
100310,113.6,2,0
100311,224.09,4,1
100312,163.25,1,0
100313,80.26,1,1
100314,84.66,2,1
100315,1848.53,5,0
100316,171.46,3,1
100317,313.23,2,0
100318,338.63,2,0
100319,33.58,2,0
100320,381.54,2,0
100321,140.43,2,1
100322,683.87,3,1
100323,381.51,4,0
100324,34.47795,1,0
100325,31.83,1,0
100326,87.81,2,1
100327,97.64681,2,0
100328,323.29,3,0
100329,1184.36,8,0
100330,159.28,1,1
100331,508.41,4,0
100332,344.7,1,1
100333,157.66,1,0
100334,350.87,4,0
100335,170.36,2,1
100336,312.28,2,1
100337,1641.18,7,1
100338,81.91,1,0
100339,73.02,2,1
100340,166.68,1,1
100341,368.09,2,1
100342,142.52,2,0
100343,92.69698,1,1
100344,790.95,3,1
100345,58.86,2,1
100346,91.48,1,0
100347,155.86,2,1
100348,458.77,1,1
100349,92.95829,1,0
100350,206.53,3,1
100351,218.07,3,1
100352,66.40118,2,0
100353,81.24,2,0
100354,829.69,6,0
100355,551.07,4,1
100356,286.71,3,1
100357,471.98,2,1
100358,71.26477,1,1
100359,638.93,6,0
100360,243.98,3,1
100361,47.33453,1,0
100362,588.32,4,1
100363,112.2,2,0
100364,223.24,2,1
100365,290.21,3,0
100366,231.71,3,1
100367,49.256,2,0
100368,190.96,2,0
100369,101.7,3,1
100370,54.95026,1,0
100371,98.02,2,0
100372,241.61,3,1
100373,580.64,5,0
100374,269.55,4,1
100375,37.25553,2,0
100376,104.86,1,1
100377,902.32,5,0
100378,219.5,2,1
100379,729.94,5,1
100380,105.16,2,0
100381,421.87,3,0
100382,98.6,1,0
100383,129.65,2,1
100384,71.80706,2,1
100385,196.51,2,0
100386,249.44,3,1
100387,370.76,3,0
100388,375.23,3,0
100389,164.34,3,1
100390,646.95,4,1
100391,289.08,4,0
100392,80.45,1,1
100393,52.47,1,1
100394,69.62,2,1
100395,506.56,5,1
100396,79.6,2,1
100397,49.21,1,0
100398,132.08,2,1
100399,102.53,2,0
100400,90.83,3,0
100401,193.14,1,1
100402,1160.46,7,1
100403,86.67,2,1
100404,39.93,1,0
100405,55.79,2,1
100406,233.91,1,0
100407,793.39,5,1
100408,44.13,1,1
100409,177.69,2,0
100410,225.38,2,0
100411,243.57,2,1
100412,121.12,1,1
100413,105.11,1,1
100414,33.06,2,0
100415,82.37,3,1
100416,367.26,1,0
100417,65.99,3,1
100418,320.7,3,0
100419,129.35,3,0
100420,327.2,4,0
100421,174.86,3,0
100422,171,3,0
100423,46.22,1,0
100424,39.32,2,1
100425,184.26,2,0
100426,838,5,1
100427,242.14,1,1
100428,148.3,1,0
100429,965.25,4,0
100430,87.59,3,0
100431,325.17,3,0
100432,66.19,3,1
100433,36.31,1,0
100434,37.26,1,1
100435,344.5,2,1
100436,216.73,1,0
100437,313.78,2,1
100438,494.12,1,0
100439,43.14,2,1
100440,89.52,2,1
100441,77.80858,1,1
100442,191.89,2,1
100443,184.8,2,0
100444,163.6,1,1
100445,195.04,2,1
100446,98.05,1,1
100447,58.72,3,0
100448,31.16806,3,0
100449,178.06,1,0
100450,221.58,4,0
100451,140.27,3,1
100452,102.89,2,0
100453,485.52,3,1
100454,2016.62,12,1
100455,52.77,1,1
100456,576.11,6,1
100457,157.26,2,1
100458,107.98,1,0
100459,1133.4,8,1
100460,51.13,2,0
100461,373.56,4,0
100462,55.65,1,1
100463,39.87,2,1
100464,228.2,1,1
100465,97.58,2,1
100466,447.17,3,0
100467,59.18,2,0
100468,32.53,1,0
100469,178.7,3,0
100470,352.52,3,1
100471,230.63,2,1
100472,582.35,2,0
100473,38.64,1,0
100474,234.31,3,0
100475,121.19,3,1
100476,256.81,1,1
100477,554.85,3,0
100478,105.71,3,0
100479,93.47,1,0
100480,663.84,3,1
100481,95.88,2,0
100482,83.63,2,1
100483,165.98,1,1
100484,304.63,1,0
100485,68.11,2,0
100486,51.29,1,0
100487,55.81,1,0
100488,75.08389,1,1
100489,127.36,2,1
100490,176.21,1,0
100491,104.19,2,0
100492,31.17,2,1
100493,1406.28,10,0
100494,116.59,2,0
100495,74.78,3,0
100496,296.2,1,0
100497,1082.74,9,0
100498,80.31,2,1
100499,40.7,2,1
100500,33.82,2,0
100501,87.73,1,1
100502,282.77,3,1
100503,159.69,1,1
100504,72.88,1,1
100505,102.81,2,1
100506,150.43,1,0
100507,203.48,3,0
100508,114.4,1,1
100509,71.44066,1,1
100510,500.1,2,1
100511,68.52,2,1
100512,241.71,2,1
100513,52.9,3,0
100514,56.78,2,1
100515,111.8,2,0
100516,155.08,2,1
100517,342.29,4,0
100518,62.29,2,0
100519,667.34,3,0
100520,287.92,2,0
100521,54.9,2,1
100522,289.94,3,0
100523,45.81,1,0
100524,110.47,3,0
100525,210.57,3,0
100526,123.88,2,1
100527,278.74,3,0
100528,797.73,3,0
100529,54.61,3,0
